"AppId","AppDisplayName","AppOwnerOrganizationId","Source"
"797f4846-ba00-4fd7-ba43-dac1f8f63013","Windows Azure Service Management API","f8cdef31-a31e-4b4a-93e4-5f571e91255a","Graph"
"810dcf14-1858-4bf2-8134-4c369fa3235b","Azure AD Identity Governance - Entitlement Management","f8cdef31-a31e-4b4a-93e4-5f571e91255a","Graph"
"8fca0a66-c008-4564-a876-ab3ae0fd5cff","Microsoft.SMIT","f8cdef31-a31e-4b4a-93e4-5f571e91255a","Graph"
"192644fe-6aac-4786-8d93-775a056aa1de","MIP Exchange Solutions - SPO","f8cdef31-a31e-4b4a-93e4-5f571e91255a","Graph"
"92876b03-76a3-4da8-ad6a-0511ffdf8647","ComplianceWorkbenchApp","f8cdef31-a31e-4b4a-93e4-5f571e91255a","Graph"
"0469d4cd-df37-4d93-8a61-f8c75b809164","Policy Administration Service","f8cdef31-a31e-4b4a-93e4-5f571e91255a","Graph"
"c9299480-c13a-49db-a7ae-cdfe54fe0313","PowerApps-Advisor","f8cdef31-a31e-4b4a-93e4-5f571e91255a","Graph"
"3138fe80-4087-4b04-80a6-8866c738028a","SharePoint Notification Service","f8cdef31-a31e-4b4a-93e4-5f571e91255a","Graph"
"d88a361a-d488-4271-a13f-a83df7dd99c2","IDML Graph Resolver Service and CAD","f8cdef31-a31e-4b4a-93e4-5f571e91255a","Graph"
"6f0478d5-61a3-4897-a2f2-de09a5a90c7f","WindowsUpdate-Service","f8cdef31-a31e-4b4a-93e4-5f571e91255a","Graph"
"0000000a-0000-0000-c000-000000000000","Microsoft Intune","f8cdef31-a31e-4b4a-93e4-5f571e91255a","Graph"
"61a63147-3824-45f5-a186-ace3f4c9daeb","MsgDataMgmt","f8cdef31-a31e-4b4a-93e4-5f571e91255a","Graph"
"394866fc-eedb-4f01-8536-3ff84b16be2a","Microsoft People Cards Service","f8cdef31-a31e-4b4a-93e4-5f571e91255a","Graph"
"f9d02341-e7aa-456d-926d-4a0ca599fbee","Office 365 Enterprise Insights","f8cdef31-a31e-4b4a-93e4-5f571e91255a","Graph"
"499b84ac-1321-427f-aa17-267ca6975798","Azure DevOps","f8cdef31-a31e-4b4a-93e4-5f571e91255a","Graph"
"6abc93dc-978e-48a3-8e54-458e593ed8cf","Customer Service Trial PVA - readonly","f8cdef31-a31e-4b4a-93e4-5f571e91255a","Graph"
"b97b6bd4-a49f-4a0c-af18-af507d1da76c","Office Shredding Service","f8cdef31-a31e-4b4a-93e4-5f571e91255a","Graph"
"00000006-0000-0ff1-ce00-000000000000","Microsoft Office 365 Portal","f8cdef31-a31e-4b4a-93e4-5f571e91255a","Graph"
"14452459-6fa6-4ec0-bc50-1528a1a06bf0","Intune CMDeviceService","f8cdef31-a31e-4b4a-93e4-5f571e91255a","Graph"
